plant_id,plant_name,datetime,installed_capacity_mw,actual_generation_mw,water_flow_m3s,turbine_efficiency,outage_flag
H03,Canyon_Run,2024-05-19 16:30:00,95.0,78.764,119.004,0.89,0
H01,Andean_Falls,2024-07-29 05:30:00,180.0,127.269,177.575,0.906,0
H01,Andean_Falls,2024-05-04 04:30:00,180.0,180.0,274.086,0.94,0
H02,River_Gate,2024-11-26 00:45:00,125.0,91.17,146.938,0.901,0
H02,River_Gate,2024-08-06 09:45:00,125.0,71.055,115.878,0.918,0
H03,Canyon_Run,2024-11-12 08:30:00,95.0,68.567,101.042,0.914,0
H02,River_Gate,2024-12-18 00:00:00,125.0,91.896,151.822,0.92,0
H03,Canyon_Run,2024-03-09 21:00:00,95.0,95.0,147.136,0.877,0
H01,Andean_Falls,2024-11-17 11:30:00,180.0,109.351,152.677,0.913,0
H03,Canyon_Run,2024-08-31 14:30:00,95.0,50.174,70.242,0.899,0
H01,Andean_Falls,2024-03-27 08:15:00,180.0,180.0,266.038,0.933,0
H02,River_Gate,2024-01-25 12:30:00,125.0,125.0,208.713,0.914,0
H03,Canyon_Run,2024-09-22 09:45:00,95.0,53.012,76.744,0.906,0
H01,Andean_Falls,2024-07-21 13:45:00,180.0,121.685,175.992,0.879,0
H01,Andean_Falls,2024-12-31 20:15:00,180.0,146.546,213.075,0.895,0
H02,River_Gate,2024-06-12 01:15:00,125.0,95.697,157.816,0.898,0
H03,Canyon_Run,2024-08-09 09:15:00,95.0,58.567,82.379,0.949,0
H03,Canyon_Run,2024-10-18 23:45:00,95.0,63.355,88.726,0.897,0
H01,Andean_Falls,2024-03-22 21:45:00,180.0,180.0,271.075,0.886,0
H01,Andean_Falls,2024-07-26 07:15:00,180.0,127.792,175.579,0.928,0
H03,Canyon_Run,2024-11-04 00:45:00,95.0,62.245,89.514,0.92,0
H02,River_Gate,2024-04-22 11:30:00,125.0,125.0,225.636,0.899,0
H03,Canyon_Run,2024-06-26 22:30:00,95.0,59.163,90.342,0.877,0
H01,Andean_Falls,2024-11-17 12:00:00,180.0,111.908,163.882,0.888,0
H02,River_Gate,2024-12-30 17:15:00,125.0,103.567,174.16,0.851,0
H02,River_Gate,2024-01-17 02:30:00,125.0,119.032,188.296,0.93,0
H02,River_Gate,2024-11-23 00:15:00,125.0,89.989,145.401,0.902,0
H01,Andean_Falls,2024-01-19 02:30:00,180.0,165.637,233.427,0.908,0
H02,River_Gate,2024-10-13 12:15:00,125.0,73.81,119.66,0.924,0
H01,Andean_Falls,2024-07-30 12:15:00,180.0,123.529,178.588,0.899,0
H03,Canyon_Run,2024-06-20 23:15:00,95.0,61.308,94.35,0.867,0
H02,River_Gate,2024-03-16 00:00:00,125.0,125.0,222.87,0.892,0
H01,Andean_Falls,2024-07-06 07:00:00,180.0,148.056,206.8,0.92,0
H02,River_Gate,2024-04-24 08:30:00,125.0,0.0,0.0,0.0,1
H01,Andean_Falls,2024-01-20 09:30:00,180.0,171.395,239.826,0.93,0
H03,Canyon_Run,2024-06-08 00:00:00,95.0,77.072,108.891,0.909,0
H03,Canyon_Run,2024-01-28 06:30:00,95.0,95.0,153.168,0.911,0
H01,Andean_Falls,2024-05-09 22:00:00,180.0,172.625,265.156,0.848,0
H03,Canyon_Run,2024-08-26 19:45:00,95.0,45.487,71.587,0.902,0
H03,Canyon_Run,2024-02-05 03:30:00,95.0,95.0,150.68,0.904,0
H02,River_Gate,2024-03-08 18:30:00,125.0,125.0,223.257,0.889,0
H03,Canyon_Run,2024-06-25 04:30:00,95.0,71.687,97.147,0.933,0
H03,Canyon_Run,2024-08-24 14:00:00,95.0,49.062,71.601,0.888,0
H03,Canyon_Run,2024-08-03 23:00:00,95.0,49.612,74.367,0.879,0
H03,Canyon_Run,2024-06-12 10:45:00,95.0,81.824,112.642,0.918,0
H01,Andean_Falls,2024-01-14 17:30:00,180.0,155.03,223.934,0.894,0
H03,Canyon_Run,2024-04-27 09:45:00,95.0,95.0,141.466,0.918,0
H02,River_Gate,2024-02-03 10:45:00,125.0,125.0,209.647,0.928,0
H01,Andean_Falls,2024-07-29 01:00:00,180.0,122.23,178.295,0.902,0
H03,Canyon_Run,2024-05-13 10:15:00,95.0,80.391,124.169,0.9,0
H02,River_Gate,2024-09-16 19:00:00,125.0,61.645,102.817,0.892,0
H03,Canyon_Run,2024-06-05 23:00:00,95.0,73.012,105.78,0.905,0
H03,Canyon_Run,2024-03-01 20:15:00,95.0,95.0,157.529,0.87,0
H01,Andean_Falls,2024-09-15 10:00:00,180.0,108.855,152.832,0.915,0
H01,Andean_Falls,2024-11-21 10:15:00,180.0,111.836,154.407,0.931,0
H01,Andean_Falls,2024-12-28 20:30:00,180.0,133.753,196.31,0.884,0
H03,Canyon_Run,2024-11-11 17:30:00,95.0,67.444,107.55,0.851,0
H02,River_Gate,2024-06-05 09:00:00,125.0,113.674,182.933,0.927,0
H01,Andean_Falls,2024-06-18 13:00:00,180.0,152.012,222.485,0.89,0
H02,River_Gate,2024-05-16 13:45:00,125.0,125.0,194.323,0.924,0
H03,Canyon_Run,2024-04-14 02:00:00,95.0,95.0,158.628,0.922,0
H03,Canyon_Run,2024-04-20 13:30:00,95.0,90.588,140.047,0.9,0
H01,Andean_Falls,2024-05-08 17:15:00,180.0,176.977,261.232,0.887,0
H02,River_Gate,2024-12-11 03:30:00,125.0,100.411,154.818,0.95,0
H01,Andean_Falls,2024-12-09 03:30:00,180.0,134.006,184.826,0.933,0
H01,Andean_Falls,2024-07-19 21:00:00,180.0,126.91,194.552,0.847,0
H03,Canyon_Run,2024-07-19 08:45:00,95.0,51.8,73.77,0.938,0
H03,Canyon_Run,2024-03-17 15:30:00,95.0,95.0,154.888,0.875,0
H01,Andean_Falls,2024-11-13 05:00:00,180.0,104.788,143.482,0.919,0
H03,Canyon_Run,2024-07-19 20:15:00,95.0,58.411,94.107,0.906,0
H02,River_Gate,2024-06-05 22:15:00,125.0,105.505,174.999,0.893,0
H03,Canyon_Run,2024-07-21 12:45:00,95.0,50.701,77.273,0.889,0
H03,Canyon_Run,2024-12-01 03:30:00,95.0,84.042,117.096,0.915,0
H03,Canyon_Run,2024-02-19 11:30:00,95.0,95.0,159.266,0.912,0
H01,Andean_Falls,2024-03-23 15:00:00,180.0,180.0,287.068,0.883,0
H01,Andean_Falls,2024-05-24 22:45:00,180.0,170.036,239.305,0.91,0
H01,Andean_Falls,2024-06-16 23:30:00,180.0,164.204,233.515,0.9,0
H03,Canyon_Run,2024-11-27 11:00:00,95.0,78.152,114.616,0.9,0
H02,River_Gate,2024-11-05 13:00:00,125.0,79.192,132.991,0.91,0
H03,Canyon_Run,2024-04-02 23:00:00,95.0,93.956,142.76,0.906,0
H01,Andean_Falls,2024-01-11 06:15:00,180.0,157.27,214.464,0.942,0
H01,Andean_Falls,2024-02-28 06:45:00,180.0,180.0,263.736,0.898,0
H02,River_Gate,2024-08-09 18:00:00,125.0,68.828,119.681,0.849,0
H03,Canyon_Run,2024-02-14 00:00:00,95.0,95.0,141.462,0.898,0
H01,Andean_Falls,2024-09-10 09:45:00,180.0,97.19,132.828,0.918,0
H03,Canyon_Run,2024-07-02 21:45:00,95.0,56.406,87.679,0.868,0
H02,River_Gate,2024-02-08 13:15:00,125.0,123.543,212.062,0.869,0
H01,Andean_Falls,2024-08-16 19:45:00,180.0,104.068,157.073,0.872,0
H03,Canyon_Run,2024-01-16 12:00:00,95.0,95.0,150.1,0.918,0
H02,River_Gate,2024-12-18 02:45:00,125.0,97.179,165.975,0.9,0
H01,Andean_Falls,2024-08-02 10:00:00,180.0,124.299,169.123,0.938,0
H03,Canyon_Run,2024-01-16 22:00:00,95.0,92.373,140.652,0.857,0
H01,Andean_Falls,2024-03-30 06:15:00,180.0,180.0,273.954,0.911,0
H01,Andean_Falls,2024-02-08 22:15:00,180.0,173.322,248.88,0.895,0
H02,River_Gate,2024-01-15 00:30:00,125.0,121.215,197.097,0.905,0
H03,Canyon_Run,2024-04-14 05:15:00,95.0,90.326,129.158,0.922,0
H03,Canyon_Run,2024-11-01 16:15:00,95.0,66.617,101.47,0.87,0
H03,Canyon_Run,2024-04-03 03:15:00,95.0,95.0,143.249,0.915,0
H03,Canyon_Run,2024-10-02 07:45:00,95.0,59.359,80.865,0.921,0
H03,Canyon_Run,2024-09-19 06:15:00,95.0,58.343,79.97,0.935,0
H01,Andean_Falls,2024-10-13 05:15:00,180.0,94.644,131.896,0.955,0
H01,Andean_Falls,2024-09-20 12:15:00,180.0,98.25,138.63,0.883,0
H01,Andean_Falls,2024-01-11 10:30:00,180.0,153.185,221.391,0.9,0
H02,River_Gate,2024-08-01 08:00:00,125.0,75.224,121.297,0.92,0
H01,Andean_Falls,2024-01-17 09:30:00,180.0,168.714,234.292,0.924,0
H02,River_Gate,2024-05-05 18:00:00,125.0,125.0,212.889,0.889,0
H01,Andean_Falls,2024-09-07 19:00:00,180.0,92.866,131.951,0.884,0
H01,Andean_Falls,2024-03-08 21:45:00,180.0,180.0,271.149,0.879,0
H03,Canyon_Run,2024-08-31 09:45:00,95.0,53.946,76.336,0.943,0
H03,Canyon_Run,2024-05-06 04:15:00,95.0,87.288,125.371,0.917,0
H01,Andean_Falls,2024-12-21 19:30:00,180.0,125.513,189.937,0.857,0
H03,Canyon_Run,2024-02-27 18:00:00,95.0,95.0,159.902,0.865,0
H01,Andean_Falls,2024-08-30 13:30:00,180.0,98.525,142.843,0.872,0
H01,Andean_Falls,2024-03-02 20:15:00,180.0,180.0,265.852,0.889,0
H01,Andean_Falls,2024-02-07 07:00:00,180.0,180.0,263.159,0.931,0
H01,Andean_Falls,2024-06-01 01:30:00,180.0,170.913,244.267,0.899,0
H02,River_Gate,2024-08-27 06:30:00,125.0,68.135,111.307,0.922,0
H02,River_Gate,2024-05-19 04:30:00,125.0,112.357,186.123,0.921,0
H03,Canyon_Run,2024-03-29 04:15:00,95.0,95.0,155.639,0.916,0
H01,Andean_Falls,2024-06-05 09:00:00,180.0,172.899,243.876,0.916,0
H02,River_Gate,2024-02-16 14:15:00,125.0,125.0,217.401,0.88,0
H01,Andean_Falls,2024-02-26 04:15:00,180.0,180.0,263.435,0.943,0
H01,Andean_Falls,2024-11-17 04:45:00,180.0,116.243,159.096,0.918,0
H01,Andean_Falls,2024-10-02 06:00:00,180.0,90.515,124.652,0.911,0
H02,River_Gate,2024-04-02 11:00:00,125.0,125.0,212.374,0.892,0
H02,River_Gate,2024-01-17 07:45:00,125.0,118.355,187.936,0.92,0
H03,Canyon_Run,2024-09-19 22:00:00,95.0,55.137,82.972,0.894,0
H02,River_Gate,2024-09-25 21:15:00,125.0,66.458,106.949,0.931,0
H02,River_Gate,2024-10-13 02:30:00,125.0,79.044,126.397,0.921,0
H02,River_Gate,2024-07-10 23:45:00,125.0,79.11,132.432,0.889,0
H03,Canyon_Run,2024-11-05 19:45:00,95.0,54.427,89.389,0.866,0
H03,Canyon_Run,2024-01-12 22:45:00,95.0,87.231,136.282,0.875,0
H01,Andean_Falls,2024-05-23 01:00:00,180.0,180.0,259.041,0.927,0
H02,River_Gate,2024-12-24 19:45:00,125.0,104.455,175.145,0.879,0
H03,Canyon_Run,2024-05-05 00:00:00,95.0,93.0,125.558,0.902,0
H01,Andean_Falls,2024-05-30 10:15:00,180.0,176.166,247.819,0.907,0
H02,River_Gate,2024-03-16 04:00:00,125.0,125.0,220.016,0.945,0
H02,River_Gate,2024-12-12 23:15:00,125.0,95.543,155.846,0.92,0
H01,Andean_Falls,2024-08-29 08:00:00,180.0,99.051,145.92,0.903,0
H01,Andean_Falls,2024-01-26 20:45:00,180.0,162.182,241.089,0.879,0
H02,River_Gate,2024-02-19 13:00:00,125.0,125.0,214.61,0.904,0
H01,Andean_Falls,2024-05-17 10:45:00,180.0,174.373,243.382,0.917,0
H02,River_Gate,2024-01-25 06:30:00,125.0,123.684,190.887,0.936,0
H02,River_Gate,2024-10-17 08:45:00,125.0,75.294,122.526,0.911,0
H03,Canyon_Run,2024-05-02 21:00:00,95.0,95.0,143.175,0.872,0
H03,Canyon_Run,2024-02-18 01:15:00,95.0,95.0,149.034,0.902,0
H02,River_Gate,2024-05-28 10:15:00,125.0,111.32,180.376,0.886,0
H03,Canyon_Run,2024-03-30 02:45:00,95.0,95.0,145.448,0.877,0
H01,Andean_Falls,2024-01-07 17:45:00,180.0,141.694,211.415,0.873,0
H03,Canyon_Run,2024-09-07 03:30:00,95.0,48.679,67.553,0.933,0
H01,Andean_Falls,2024-11-23 00:15:00,180.0,108.26,159.152,0.893,0
H03,Canyon_Run,2024-05-24 11:30:00,95.0,79.177,110.319,0.911,0
H01,Andean_Falls,2024-04-23 10:00:00,180.0,180.0,293.001,0.917,0
H01,Andean_Falls,2024-11-11 06:15:00,180.0,110.264,152.227,0.931,0
H01,Andean_Falls,2024-10-15 18:00:00,180.0,91.718,132.768,0.867,0
H03,Canyon_Run,2024-07-01 22:00:00,95.0,63.192,94.435,0.888,0
H03,Canyon_Run,2024-12-01 08:00:00,95.0,89.629,120.939,0.947,0
H02,River_Gate,2024-10-03 05:00:00,125.0,62.438,101.997,0.912,0
H03,Canyon_Run,2024-03-17 11:45:00,95.0,95.0,148.467,0.907,0
H02,River_Gate,2024-01-10 13:15:00,125.0,98.785,170.773,0.899,0
H01,Andean_Falls,2024-03-23 04:30:00,180.0,180.0,285.08,0.943,0
H01,Andean_Falls,2024-06-16 18:45:00,180.0,161.215,232.209,0.887,0
H01,Andean_Falls,2024-03-05 01:45:00,180.0,180.0,260.415,0.895,0
H03,Canyon_Run,2024-02-11 10:30:00,95.0,95.0,157.114,0.905,0
H02,River_Gate,2024-11-10 02:30:00,125.0,77.708,126.631,0.903,0
H03,Canyon_Run,2024-01-04 21:00:00,95.0,95.0,138.396,0.913,0
H03,Canyon_Run,2024-09-18 00:15:00,95.0,54.13,77.346,0.901,0
H02,River_Gate,2024-08-07 01:30:00,125.0,69.446,117.693,0.899,0
H03,Canyon_Run,2024-08-02 15:30:00,95.0,40.55,64.641,0.888,0
H03,Canyon_Run,2024-11-18 22:30:00,95.0,58.086,91.952,0.883,0
H02,River_Gate,2024-03-22 23:00:00,125.0,125.0,212.739,0.912,0
H02,River_Gate,2024-09-03 09:15:00,125.0,69.571,107.488,0.915,0
H01,Andean_Falls,2024-11-01 19:30:00,180.0,104.899,153.993,0.893,0
H01,Andean_Falls,2024-06-16 19:45:00,180.0,168.25,239.129,0.887,0
H01,Andean_Falls,2024-10-02 05:00:00,180.0,100.788,135.081,0.935,0
H03,Canyon_Run,2024-03-10 04:30:00,95.0,95.0,158.521,0.933,0
H01,Andean_Falls,2024-08-21 02:45:00,180.0,115.788,162.11,0.921,0
H02,River_Gate,2024-11-19 15:00:00,125.0,77.368,132.813,0.891,0
H01,Andean_Falls,2024-06-02 22:30:00,180.0,163.99,241.646,0.882,0
H03,Canyon_Run,2024-10-10 14:15:00,95.0,42.857,70.448,0.867,0
H03,Canyon_Run,2024-02-28 00:45:00,95.0,95.0,150.096,0.912,0
H02,River_Gate,2024-02-03 09:00:00,125.0,125.0,203.339,0.92,0
H02,River_Gate,2024-01-28 15:45:00,125.0,117.651,194.632,0.889,0
H03,Canyon_Run,2024-07-01 00:30:00,95.0,63.104,97.838,0.889,0
H03,Canyon_Run,2024-07-11 22:15:00,95.0,61.827,90.625,0.879,0
H01,Andean_Falls,2024-07-01 16:15:00,180.0,146.359,210.121,0.894,0
H03,Canyon_Run,2024-01-29 15:15:00,95.0,95.0,149.813,0.871,0
H03,Canyon_Run,2024-07-30 16:45:00,95.0,55.565,83.119,0.861,0
H03,Canyon_Run,2024-12-28 00:00:00,95.0,76.532,122.571,0.87,0
H01,Andean_Falls,2024-06-23 19:45:00,180.0,154.107,228.753,0.876,0
H02,River_Gate,2024-03-03 11:30:00,125.0,125.0,218.671,0.925,0
H02,River_Gate,2024-03-27 11:30:00,125.0,125.0,223.148,0.931,0
H02,River_Gate,2024-04-10 20:15:00,125.0,125.0,223.845,0.888,0
H03,Canyon_Run,2024-01-10 13:15:00,95.0,90.5,126.37,0.926,0
H02,River_Gate,2024-11-05 03:00:00,125.0,78.795,128.331,0.892,0
H01,Andean_Falls,2024-03-04 10:45:00,180.0,180.0,269.239,0.874,0
H01,Andean_Falls,2024-07-18 20:15:00,180.0,124.955,195.335,0.862,0
H02,River_Gate,2024-05-26 09:00:00,125.0,115.676,185.045,0.925,0
H01,Andean_Falls,2024-08-31 07:00:00,180.0,103.228,146.329,0.92,0
H02,River_Gate,2024-08-20 14:30:00,125.0,64.322,105.291,0.894,0
H03,Canyon_Run,2024-06-19 06:00:00,95.0,73.826,103.286,0.926,0
H03,Canyon_Run,2024-05-20 10:15:00,95.0,85.439,127.368,0.896,0
H01,Andean_Falls,2024-05-29 16:30:00,180.0,156.759,233.453,0.856,0
H02,River_Gate,2024-11-03 22:45:00,125.0,75.066,124.406,0.896,0
H02,River_Gate,2024-03-27 08:15:00,125.0,125.0,236.772,0.912,0
H01,Andean_Falls,2024-01-14 00:00:00,180.0,146.444,215.987,0.896,0
H03,Canyon_Run,2024-04-06 11:00:00,95.0,95.0,154.236,0.911,0
H02,River_Gate,2024-03-02 13:00:00,125.0,125.0,226.309,0.879,0
H01,Andean_Falls,2024-03-23 19:30:00,180.0,180.0,273.615,0.844,0
H01,Andean_Falls,2024-09-04 03:45:00,180.0,104.478,142.68,0.919,0
H02,River_Gate,2024-10-18 06:30:00,125.0,70.737,110.548,0.927,0
H03,Canyon_Run,2024-02-08 05:30:00,95.0,93.706,137.46,0.918,0
H02,River_Gate,2024-02-09 21:15:00,125.0,122.992,193.239,0.906,0
H03,Canyon_Run,2024-07-14 12:00:00,95.0,69.763,100.608,0.919,0
H02,River_Gate,2024-11-16 09:45:00,125.0,94.89,144.895,0.929,0
H03,Canyon_Run,2024-12-31 07:30:00,95.0,90.999,134.012,0.906,0
H03,Canyon_Run,2024-11-02 21:15:00,95.0,58.187,92.068,0.885,0
H03,Canyon_Run,2024-12-12 11:45:00,95.0,79.855,118.415,0.912,0
H03,Canyon_Run,2024-10-23 20:45:00,95.0,58.934,93.139,0.866,0
H01,Andean_Falls,2024-04-01 21:30:00,180.0,180.0,291.064,0.896,0
H01,Andean_Falls,2024-12-15 20:00:00,180.0,130.575,180.177,0.907,0
H02,River_Gate,2024-01-08 04:00:00,125.0,119.627,189.773,0.933,0
H02,River_Gate,2024-02-03 20:45:00,125.0,120.744,196.254,0.873,0
H01,Andean_Falls,2024-05-20 19:45:00,180.0,159.152,241.452,0.849,0
H01,Andean_Falls,2024-03-15 06:00:00,180.0,180.0,281.485,0.925,0
H01,Andean_Falls,2024-06-07 07:45:00,180.0,168.619,237.362,0.925,0
H03,Canyon_Run,2024-11-25 04:30:00,95.0,72.645,109.082,0.901,0
H02,River_Gate,2024-03-14 20:45:00,125.0,125.0,230.037,0.867,0
H02,River_Gate,2024-10-22 17:00:00,125.0,66.161,114.274,0.881,0
H03,Canyon_Run,2024-12-11 17:15:00,95.0,83.746,132.881,0.851,0
H03,Canyon_Run,2024-07-05 04:00:00,95.0,61.098,88.585,0.93,0
H03,Canyon_Run,2024-04-11 01:45:00,95.0,95.0,146.05,0.932,0
H03,Canyon_Run,2024-09-27 08:00:00,95.0,-58.602,79.143,0.936,0
H03,Canyon_Run,2024-11-13 01:15:00,95.0,63.84,92.84,0.887,0
H03,Canyon_Run,2024-09-07 11:00:00,95.0,52.184,77.115,0.927,0
H01,Andean_Falls,2024-09-30 00:30:00,180.0,84.068,123.602,0.921,0
H02,River_Gate,2024-08-30 12:45:00,125.0,66.957,107.468,0.904,0
H01,Andean_Falls,2024-05-25 09:15:00,180.0,180.0,257.917,0.919,0
H02,River_Gate,2024-05-19 12:15:00,125.0,108.578,180.834,0.893,0
H01,Andean_Falls,2024-01-17 03:30:00,180.0,159.46,225.067,0.918,0
H01,Andean_Falls,2024-02-29 21:00:00,180.0,180.0,266.459,0.901,0
H02,River_Gate,2024-07-28 08:00:00,125.0,77.993,128.457,0.89,0
H02,River_Gate,2024-05-01 07:00:00,125.0,125.0,211.308,0.942,0
H03,Canyon_Run,2024-12-15 02:45:00,95.0,80.089,116.31,0.896,0
H03,Canyon_Run,2024-03-27 17:15:00,95.0,95.0,146.122,0.875,0
H01,Andean_Falls,2024-05-10 08:30:00,180.0,180.0,263.403,0.915,0
H01,Andean_Falls,2024-03-26 14:30:00,180.0,180.0,275.403,0.906,0
H01,Andean_Falls,2024-06-07 03:30:00,180.0,169.541,237.501,0.914,0
H03,Canyon_Run,2024-11-10 20:00:00,95.0,62.57,92.654,0.886,0
H02,River_Gate,2024-06-27 04:15:00,125.0,100.551,160.235,0.929,0
H01,Andean_Falls,2024-10-26 18:30:00,180.0,93.652,134.565,0.874,0
H02,River_Gate,2024-07-23 01:30:00,125.0,75.745,125.29,0.908,0
H03,Canyon_Run,2024-06-24 18:15:00,95.0,71.75,110.173,0.873,0
H03,Canyon_Run,2024-08-28 04:15:00,95.0,50.281,69.586,0.907,0
H03,Canyon_Run,2024-09-20 17:30:00,95.0,47.618,68.247,0.862,0
H02,River_Gate,2024-11-27 16:45:00,125.0,99.042,162.517,0.864,0
H01,Andean_Falls,2024-08-24 10:15:00,180.0,99.904,140.426,0.931,0
H01,Andean_Falls,2024-07-01 23:45:00,180.0,138.766,205.517,0.877,0
H02,River_Gate,2024-05-30 08:00:00,125.0,110.711,173.949,0.932,0
H02,River_Gate,2024-01-03 23:00:00,125.0,115.702,190.406,0.871,0
H01,Andean_Falls,2024-03-27 02:00:00,180.0,180.0,272.385,0.926,0
H01,Andean_Falls,2024-02-27 15:15:00,180.0,180.0,277.989,0.895,0
H03,Canyon_Run,2024-05-21 22:15:00,95.0,85.584,120.964,0.905,0
H03,Canyon_Run,2024-09-10 22:30:00,95.0,53.042,80.986,0.892,0
H03,Canyon_Run,2024-10-27 09:15:00,95.0,61.902,90.358,0.92,0
H03,Canyon_Run,2024-06-19 08:45:00,95.0,63.283,89.25,0.925,0
H02,River_Gate,2024-02-29 04:45:00,125.0,125.0,225.461,0.921,0
H01,Andean_Falls,2024-01-26 00:45:00,180.0,162.862,225.185,0.921,0
H02,River_Gate,2024-08-25 00:45:00,125.0,67.433,115.158,0.885,0
H02,River_Gate,2024-04-10 02:30:00,125.0,125.0,217.732,0.899,0
H01,Andean_Falls,2024-01-11 12:00:00,180.0,155.525,224.433,0.922,0
H02,River_Gate,2024-07-08 18:15:00,125.0,89.804,147.426,0.875,0
H01,Andean_Falls,2024-07-08 00:00:00,180.0,147.293,209.111,0.911,0
H03,Canyon_Run,2024-03-12 01:30:00,95.0,95.0,171.419,0.902,0
H02,River_Gate,2024-12-21 05:00:00,125.0,108.446,174.801,0.92,0
H03,Canyon_Run,2024-06-17 12:15:00,95.0,62.033,92.102,0.907,0
H02,River_Gate,2024-02-03 15:30:00,125.0,125.0,215.865,0.892,0
H02,River_Gate,2024-11-29 03:45:00,125.0,87.284,146.16,0.891,0
H02,River_Gate,2024-09-20 20:45:00,125.0,61.453,108.427,0.851,0
H01,Andean_Falls,2024-06-13 01:30:00,180.0,161.295,232.891,0.899,0
H03,Canyon_Run,2024-08-13 09:00:00,95.0,57.458,79.555,0.915,0
H01,Andean_Falls,2024-03-01 01:45:00,180.0,180.0,270.736,0.907,0
H03,Canyon_Run,2024-01-24 21:30:00,95.0,95.0,144.845,0.88,0
H02,River_Gate,2024-07-07 03:00:00,125.0,91.61,146.037,0.911,0
H02,River_Gate,2024-10-29 00:45:00,125.0,75.521,124.532,0.904,0
H03,Canyon_Run,2024-08-20 19:15:00,95.0,52.338,76.628,0.916,0
H01,Andean_Falls,2024-02-12 17:45:00,180.0,175.001,252.781,0.883,0
H02,River_Gate,2024-07-08 08:15:00,125.0,95.648,155.413,0.93,0
H03,Canyon_Run,2024-12-06 10:15:00,95.0,87.645,120.384,0.919,0
H03,Canyon_Run,2024-11-21 11:45:00,95.0,69.196,97.211,0.922,0
H03,Canyon_Run,2024-08-14 06:15:00,95.0,57.129,79.588,0.94,0
H03,Canyon_Run,2024-10-25 01:30:00,95.0,59.293,90.689,0.909,0
H01,Andean_Falls,2024-11-18 12:45:00,180.0,110.884,162.585,0.883,0
H03,Canyon_Run,2024-09-28 00:15:00,95.0,47.073,69.161,0.87,0
H03,Canyon_Run,2024-06-22 21:45:00,95.0,77.795,114.294,0.876,0
H02,River_Gate,2024-12-13 13:15:00,125.0,97.989,160.709,0.902,0
H01,Andean_Falls,2024-05-05 17:45:00,180.0,179.251,274.944,0.848,0
H02,River_Gate,2024-11-02 15:30:00,125.0,74.783,127.275,0.869,0
H03,Canyon_Run,2024-01-08 12:45:00,95.0,85.616,132.369,0.894,0
H03,Canyon_Run,2024-05-21 13:15:00,95.0,80.123,118.708,0.888,0
H01,Andean_Falls,2024-09-10 06:30:00,180.0,91.118,134.215,0.902,0
H03,Canyon_Run,2024-11-23 08:30:00,95.0,82.756,112.481,0.951,0
H02,River_Gate,2024-01-20 23:30:00,125.0,123.497,207.177,0.881,0
H03,Canyon_Run,2024-03-21 22:45:00,95.0,95.0,161.744,0.89,0
H03,Canyon_Run,2024-10-06 17:45:00,95.0,49.253,75.373,0.881,0
H03,Canyon_Run,2024-03-30 21:45:00,95.0,92.318,142.743,0.87,0
H01,Andean_Falls,2024-05-09 23:00:00,180.0,180.0,273.357,0.875,0
H01,Andean_Falls,2024-12-27 17:00:00,180.0,138.786,205.622,0.85,0
H01,Andean_Falls,2024-06-07 18:30:00,180.0,170.578,248.278,0.875,0
H03,Canyon_Run,2024-01-15 08:15:00,95.0,94.252,131.978,0.926,0
H03,Canyon_Run,2024-10-07 14:45:00,95.0,54.47,82.835,0.878,0
H02,River_Gate,2024-02-22 05:30:00,125.0,125.0,221.358,0.94,0
H02,River_Gate,2024-12-19 09:00:00,125.0,102.502,168.275,0.91,0
H03,Canyon_Run,2024-04-29 10:15:00,95.0,92.114,137.292,0.926,0
H03,Canyon_Run,2024-12-23 07:30:00,95.0,87.925,128.339,0.925,0
H01,Andean_Falls,2024-06-05 02:00:00,180.0,164.551,233.71,0.916,0
H03,Canyon_Run,2024-07-30 03:00:00,95.0,49.132,72.933,0.907,0
H03,Canyon_Run,2024-05-30 23:45:00,95.0,85.363,123.171,0.899,0
H03,Canyon_Run,2024-09-08 02:30:00,95.0,52.859,80.205,0.917,0
H01,Andean_Falls,2024-11-22 02:30:00,180.0,127.895,173.735,0.923,0
H01,Andean_Falls,2024-08-31 23:00:00,180.0,107.514,154.384,0.894,0
H03,Canyon_Run,2024-05-18 06:30:00,95.0,79.461,114.875,0.911,0
H02,River_Gate,2024-11-26 01:15:00,125.0,84.142,142.925,0.882,0
H02,River_Gate,2024-08-15 19:30:00,125.0,68.436,113.347,0.898,0
H03,Canyon_Run,2024-08-31 18:00:00,95.0,45.89,68.123,0.883,0
H01,Andean_Falls,2024-02-06 15:15:00,180.0,178.521,264.751,0.872,0
H03,Canyon_Run,2024-08-20 21:45:00,95.0,51.58,76.933,0.886,0
H01,Andean_Falls,2024-04-01 18:30:00,180.0,180.0,278.993,0.879,0
H02,River_Gate,2024-06-22 19:30:00,125.0,102.382,171.227,0.872,0
H02,River_Gate,2024-10-06 00:15:00,125.0,69.136,111.069,0.911,0
H02,River_Gate,2024-07-07 10:00:00,125.0,96.175,149.355,0.923,0
H03,Canyon_Run,2024-02-13 11:30:00,95.0,87.474,125.41,0.918,0
H01,Andean_Falls,2024-04-28 08:30:00,180.0,180.0,262.391,0.954,0
H02,River_Gate,2024-11-10 03:00:00,125.0,81.917,133.993,0.927,0
H03,Canyon_Run,2024-05-05 02:00:00,95.0,94.418,138.576,0.904,0
H01,Andean_Falls,2024-12-11 17:30:00,180.0,116.544,171.365,0.89,0
